Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""AAK1""","""AAK1""","""AAK1""","""AAK1""","""AP2 associated kinase 1""","""AAK1""","""AP2 associated kinase 1""",,,"""KIAA1048"", ""DKFZp686K16132""","""AP2-associated protein kinase 1""","""Adaptor-associated kinase 1""","""AAK1""","""KIAA1048""","""AP2 associated kinase 1""",
"""BIKE""","""BIKE""","""BMP2K""","""BMP2K""","""BMP2 inducible kinase""","""BMP2K""","""BMP2 inducible kinase""",,,"""DKFZp434K0614"", ""BIKe""","""BMP-2-inducible protein kinase""",,"""BMP2K""","""BIKE""","""BMP2 inducible kinase""","""BIKE"", ""HRIHFB2017"""
"""GAK""","""GAK""","""GAK""","""GAK""","""cyclin G associated kinase""","""GAK""","""cyclin G associated kinase""",,"""auxilin-2""","""DNAJC26""","""Cyclin-G-associated kinase""","""DnaJ homolog subfamily C member 26""","""GAK""","""DNAJC26""","""cyclin G associated kinase""","""DNAJ26"", ""DNAJC26"""
"""MPSK1""","""MPSK1""","""STK16""","""STK16""","""serine/threonine kinase 16""","""STK16""","""serine/threonine kinase 16""",,,"""PKL12"", ""MPSK""","""Serine/threonine-protein kinase 16""","""Myristoylated and palmitoylated serine/threonine-protein kinase"", ""Protein kinase PKL12"", ""TGF-beta-stimulated factor 1"", ""Tyrosine-protein kinase STK16"", ""hPSK""","""STK16""","""MPSK1"", ""PKL12"", ""TSF1""","""serine/threonine kinase 16""","""KRCT"", ""MPSK"", ""PKL12"", ""PSK"", ""TSF1"", ""hPSK"""
"""NEK1""","""NEK1""","""NEK1""","""NEK1""","""NIMA (never in mitosis gene a)-related kinase 1""","""NEK1""","""NIMA related kinase 1""","""NIMA (never in mitosis gene a)-related kinase 1""",,"""NY-REN-55"", ""KIAA1901""","""Serine/threonine-protein kinase Nek1""","""Never in mitosis A-related kinase 1"", ""Renal carcinoma antigen NY-REN-55""","""NEK1""","""KIAA1901""","""NIMA related kinase 1""","""ALS24"", ""NY-REN-55"", ""OFD2"", ""SRPS2"", ""SRPS2A"", ""SRTD6"""
"""NEK3""","""NEK3""","""NEK3""","""NEK3""","""NIMA (never in mitosis gene a)-related kinase 3""","""NEK3""","""NIMA related kinase 3""","""NIMA (never in mitosis gene a)-related kinase 3""","""serine/threonine-protein kinase NEK3"", ""phosphorylase B kinase kinase"", ""glycogen synthase A kinase"", ""hydroxyalkyl-protein kinase""","""HSPK36"", ""MGC29949""","""Serine/threonine-protein kinase Nek3""","""HSPK 36"", ""Never in mitosis A-related kinase 3""","""NEK3""",,"""NIMA related kinase 3""","""HSPK36"""
"""NEK5""","""NEK5""","""NEK5""","""NEK5""","""NIMA (never in mitosis gene a)-related kinase 5""","""NEK5""","""NIMA related kinase 5""","""NIMA (never in mitosis gene a)-related kinase 5""",,,"""Serine/threonine-protein kinase Nek5""","""Never in mitosis A-related kinase 5""","""NEK5""",,"""NIMA related kinase 5""",
"""NEK10""","""NEK10""","""NEK10""","""NEK10""","""NIMA (never in mitosis gene a)- related kinase 10""","""NEK10""","""NIMA related kinase 10""","""NIMA (never in mitosis gene a)- related kinase 10""",,"""FLJ32685""","""Serine/threonine-protein kinase Nek10""","""Never in mitosis A-related kinase 10""","""NEK10""",,"""NIMA related kinase 10""","""CILD44"""
"""NEK11""","""NEK11""","""NEK11""","""NEK11""","""NIMA (never in mitosis gene a)- related kinase 11""","""NEK11""","""NIMA related kinase 11""","""NIMA (never in mitosis gene a)- related kinase 11""",,"""FLJ23495""","""Serine/threonine-protein kinase Nek11""","""Never in mitosis A-related kinase 11""","""NEK11""",,"""NIMA related kinase 11""",
"""NEK2""","""NEK2""","""NEK2""","""NEK2""","""NIMA (never in mitosis gene a)-related kinase 2""","""NEK2""","""NIMA related kinase 2""","""NIMA (never in mitosis gene a)-related kinase 2""","""HsPK 21"", ""protein phosphatase 1, regulatory subunit 111""","""NLK1"", ""NEK2A"", ""RP67"", ""PPP1R111""","""Serine/threonine-protein kinase Nek2""","""HSPK 21"", ""Never in mitosis A-related kinase 2"", ""NimA-like protein kinase 1""","""NEK2""","""NEK2A"", ""NLK1""","""NIMA related kinase 2""","""HsPK21"", ""NEK2A"", ""NLK1"", ""PPP1R111"", ""RP67"""
"""NEK4""","""NEK4""","""NEK4""","""NEK4""","""NIMA (never in mitosis gene a)-related kinase 4""","""NEK4""","""NIMA related kinase 4""","""serine/threonine kinase 2"", ""NIMA (never in mitosis gene a)-related kinase 4""","""serine/threonine protein kinase-2""","""NRK2"", ""pp12301""","""Serine/threonine-protein kinase Nek4""","""Never in mitosis A-related kinase 4"", ""Serine/threonine-protein kinase 2"", ""Serine/threonine-protein kinase NRK2""","""NEK4""","""STK2""","""NIMA related kinase 4""","""NRK2"", ""STK2"", ""pp12301"""
"""NEK6""","""NEK6""","""NEK6""","""NEK6""","""NIMA (never in mitosis gene a)-related kinase 6""","""NEK6""","""NIMA related kinase 6""","""NIMA (never in mitosis gene a)-related kinase 6""","""putative serine-threonine protein kinase""","""SID6-1512""","""Serine/threonine-protein kinase Nek6""","""Never in mitosis A-related kinase 6"", ""Protein kinase SID6-1512""","""NEK6""",,"""NIMA related kinase 6""","""SID6-1512"""
"""NEK7""","""NEK7""","""NEK7""","""NEK7""","""NIMA (never in mitosis gene a)-related kinase 7""","""NEK7""","""NIMA related kinase 7""","""NIMA (never in mitosis gene a)-related kinase 7""",,,"""Serine/threonine-protein kinase Nek7""","""Never in mitosis A-related kinase 7""","""NEK7""",,"""NIMA related kinase 7""",
"""NEK9""","""NEK9""","""NEK9""","""NEK9""","""NIMA (never in mitosis gene a)- related kinase 9""","""NEK9""","""NIMA related kinase 9""","""NIMA (never in mitosis gene a)- related kinase 9""",,"""Nek8"", ""NERCC"", ""DKFZp434D0935"", ""MGC16714"", ""NERCC1""","""Serine/threonine-protein kinase Nek9""","""Nercc1 kinase"", ""Never in mitosis A-related kinase 9"", ""NimA-related kinase 8""","""NEK9""","""KIAA1995"", ""NEK8"", ""NERCC""","""NIMA related kinase 9""","""APUG"", ""LCCS10"", ""NC"", ""NERCC"", ""NERCC1"""
"""NEK8""","""NEK8""","""NEK8""","""NEK8""","""NIMA (never in mitosis gene a)- related kinase 8""","""NEK8""","""NIMA related kinase 8""","""NIMA (never in mitosis gene a)- related kinase 8""",,"""NPHP9""","""Serine/threonine-protein kinase Nek8""","""Never in mitosis A-related kinase 8"", ""Nima-related protein kinase 12a""","""NEK8""","""JCK"", ""NEK12A""","""NIMA related kinase 8""","""JCK"", ""NEK12A"", ""NPHP9"", ""PKD8"", ""RHPD2"""
"""SBK""","""SBK""","""SBK1""","""SBK1""","""SH3-binding domain kinase 1""","""SBK1""","""SH3 domain binding kinase 1""","""SH3-binding domain kinase 1""",,"""Sbk""","""Serine/threonine-protein kinase SBK1""","""SH3 domain-binding kinase 1""","""SBK1""",,"""SH3 domain binding kinase 1""","""SBK"""
"""SgK069""","""SgK069""","""LOC646643""","""-""","""-""","""LOC646643""",,,,,,,,,,
"""SgK110""","""SBK3""","""SBK3""",,,"""SBK3""","""SH3 domain binding kinase family member 3""","""SH3 domain binding kinase family, member 3""",,"""SgK110""","""Uncharacterized serine/threonine-protein kinase SBK3""","""SH3 domain-binding kinase family member 3"", ""Sugen kinase 110""","""SBK3""","""SGK110""","""SH3 domain binding kinase family member 3""","""SGK110"""
"""PINK1""","""PINK1""","""PINK1""","""PINK1""","""PTEN induced putative kinase 1""","""PINK1""","""PTEN induced kinase 1""","""Parkinson disease (autosomal recessive) 6"", ""PTEN induced putative kinase 1""",,"""BRPK""","""Serine/threonine-protein kinase PINK1, mitochondrial""","""BRPK"", ""PTEN-induced putative kinase protein 1""","""PINK1""",,"""PTEN induced kinase 1""","""BRPK"", ""PARK6"""
"""SgK269""","""SgK269""","""KIAA2002""","""-""","""-""","""KIAA2002""",,,,,"""Inactive tyrosine-protein kinase PEAK1""","""Pseudopodium-enriched atypical kinase 1"", ""Sugen kinase 269"", ""Tyrosine-protein kinase SgK269""","""PEAK1""","""KIAA2002""",,
"""SgK223""","""SgK223""","""DKFZp761P0423""","""-""","""-""","""DKFZp761P0423""",,,,,,,,,,
"""CLIK1""","""CLIK1""","""STK35""","""STK35""","""serine/threonine kinase 35""","""STK35""","""serine/threonine kinase 35""",,"""CLP-36 interacting kinase""","""bA550O8.2"", ""CLIK1""","""Serine/threonine-protein kinase 35""","""CLP-36-interacting kinase 1"", ""PDLIM1-interacting kinase 1"", ""Serine/threonine-protein kinase 35 L1""","""STK35""","""CLIK1"", ""PDIK1"", ""STK35L1""","""serine/threonine kinase 35""","""CLIK1"", ""STK35L1"""
"""CLIK1L""","""CLIK1L""","""PDIK1L""","""PDIK1L""","""PDLIM1 interacting kinase 1 like""","""PDIK1L""","""PDLIM1 interacting kinase 1 like""",,,"""CLIK1L""","""Serine/threonine-protein kinase PDIK1L""","""PDLIM1-interacting kinase 1-like""","""PDIK1L""","""CLIK1L""","""PDLIM1 interacting kinase 1 like""","""CLIK1L"", ""STK35L2"""
"""SgK307""","""SgK307""","""TEX14""","""TEX14""","""testis expressed sequence 14""","""TEX14""","""testis expressed 14, intercellular bridge forming factor""","""testis expressed sequence 14"", ""testis expressed 14""","""cancer/testis antigen 113"", ""Inactive serine/threonine-protein kinase TEX14""","""CT113"", ""SgK307""","""Inactive serine/threonine-protein kinase TEX14""","""Protein kinase-like protein SgK307"", ""Sugen kinase 307"", ""Testis-expressed sequence 14"", ""Testis-expressed sequence 14 protein""","""TEX14""","""SGK307""","""testis expressed 14, intercellular bridge forming factor""","""CT113"", ""SPGF23"", ""SgK307"""
"""SgK424""",,,,,,,,,,,,,,,
"""NRBP1""","""NRBP1""","""NRBP1""","""NRBP1""","""nuclear receptor binding protein 1""","""NRBP1""","""nuclear receptor binding protein 1""","""nuclear receptor binding protein""",,"""BCON3"", ""MUDPNP"", ""MADM""","""Nuclear receptor-binding protein""",,"""NRBP1""","""BCON3"", ""NRBP""","""nuclear receptor binding protein 1""","""BCON3"", ""MADM"", ""MUDPNP"", ""NRBP"""
"""NRBP2""","""NRBP2""","""NRBP2""","""NRBP2""","""nuclear receptor binding protein 2""","""NRBP2""","""nuclear receptor binding protein 2""",,,"""DKFZp434P086""","""Nuclear receptor-binding protein 2""","""Transformation-related gene 16 protein""","""NRBP2""",,"""nuclear receptor binding protein 2""","""TRG16"", ""pp9320"""
"""RNAseL""","""RNAseL""","""RNASEL""","""RNASEL""","""ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)""","""RNASEL""","""ribonuclease L""","""prostate cancer 1"", ""ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)""",,,"""2-5A-dependent ribonuclease""","""Ribonuclease 4"", ""Ribonuclease L""","""RNASEL""","""RNS4""","""ribonuclease L""","""PRCA1"", ""RNS4"""
"""SgK396""","""SgK396""","""STK31""","""STK31""","""serine/threonine kinase 31""","""STK31""","""serine/threonine kinase 31""",,,"""TDRD8"", ""SgK396""","""Serine/threonine-protein kinase 31""","""Serine/threonine-protein kinase NYD-SPK"", ""Sugen kinase 396""","""STK31""","""SGK396""","""serine/threonine kinase 31""","""SGK396"", ""TDRD8"""
"""SgK196""","""SgK196""","""FLJ23356""","""-""","""-""","""FLJ23356""",,,,,,,,,,
"""GCN2""","""GCN2""","""EIF2AK4""","""EIF2AK4""","""eukaryotic translation initiation factor 2 alpha kinase 4""","""EIF2AK4""","""eukaryotic translation initiation factor 2 alpha kinase 4""",,"""eIF-2-alpha kinase""","""GCN2"", ""KIAA1338""","""eIF-2-alpha kinase GCN2""","""Eukaryotic translation initiation factor 2-alpha kinase 4"", ""GCN2-like protein""","""EIF2AK4""","""GCN2"", ""KIAA1338""","""eukaryotic translation initiation factor 2 alpha kinase 4""","""GCN2"", ""PVOD2"""
"""HRI""","""HRI""","""EIF2AK1""","""EIF2AK1""","""eukaryotic translation initiation factor 2-alpha kinase 1""","""EIF2AK1""","""eukaryotic translation initiation factor 2 alpha kinase 1""",,"""heme regulated initiation factor 2 alpha kinase"", ""Heme-regulated inhibitor"", ""hemin-controlled repressor""","""HRI"", ""KIAA1369"", ""hHRI"", ""HCR""","""Eukaryotic translation initiation factor 2-alpha kinase 1""","""Heme-controlled repressor"", ""Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase"", ""Heme-regulated inhibitor"", ""Hemin-sensitive initiation factor 2-alpha kinase""","""EIF2AK1""","""HRI"", ""KIAA1369""","""eukaryotic translation initiation factor 2 alpha kinase 1""","""HCR"", ""HRI"", ""LEMSPAD"", ""hHRI"""
"""PEK""","""PEK""","""EIF2AK3""","""EIF2AK3""","""eukaryotic translation initiation factor 2-alpha kinase 3""","""EIF2AK3""","""eukaryotic translation initiation factor 2 alpha kinase 3""",,"""PRKR-like endoplasmic reticulum kinase"", ""pancreatic eIF-2alpha kinase"", ""PKR-like ER kinase""","""PEK"", ""PERK""","""Eukaryotic translation initiation factor 2-alpha kinase 3""","""PRKR-like endoplasmic reticulum kinase"", ""Pancreatic eIF2-alpha kinase"", ""Protein tyrosine kinase EIF2AK3""","""EIF2AK3""","""PEK"", ""PERK""","""eukaryotic translation initiation factor 2 alpha kinase 3""","""PEK"", ""PERK"", ""WRS"""
"""PKR""","""PKR""","""EIF2AK2""","""EIF2AK2""","""eukaryotic translation initiation factor 2-alpha kinase 2""","""EIF2AK2""","""eukaryotic translation initiation factor 2 alpha kinase 2""","""protein kinase, interferon-inducible double stranded RNA dependent""","""protein phosphatase 1, regulatory subunit 83"", ""Protein Kinase RNA-activated"", ""protein kinase RNA-regulated"", ""Protein Kinase R""","""PKR"", ""PPP1R83""","""Interferon-induced, double-stranded RNA-activated protein kinase""","""Eukaryotic translation initiation factor 2-alpha kinase 2"", ""Interferon-inducible RNA-dependent protein kinase"", ""P1/eIF-2A protein kinase"", ""Protein kinase RNA-activated"", ""Tyrosine-protein kinase EIF2AK2"", ""p68 kinase""","""EIF2AK2""","""PKR"", ""PRKR""","""eukaryotic translation initiation factor 2 alpha kinase 2""","""DYT33"", ""EIF2AK1"", ""LEUDEN"", ""PKR"", ""PPP1R83"", ""PRKR"""
"""PLK1""","""PLK1""","""PLK1""","""PLK1""","""polo-like kinase 1 (Drosophila)""","""PLK1""","""polo like kinase 1""","""polo-like kinase (Drosophila)"", ""polo-like kinase 1""",,,"""Serine/threonine-protein kinase PLK1""","""Polo-like kinase 1"", ""Serine/threonine-protein kinase 13""","""PLK1""","""PLK""","""polo like kinase 1""","""PLK"", ""STPK13"""
"""PLK3""","""PLK3""","""PLK3""","""PLK3""","""polo-like kinase 3 (Drosophila)""","""PLK3""","""polo like kinase 3""","""cytokine-inducible kinase"", ""polo-like kinase 3 (Drosophila)"", ""polo-like kinase 3""",,"""FNK"", ""PRK""","""Serine/threonine-protein kinase PLK3""","""Cytokine-inducible serine/threonine-protein kinase"", ""FGF-inducible kinase"", ""Polo-like kinase 3"", ""Proliferation-related kinase""","""PLK3""","""CNK"", ""FNK"", ""PRK""","""polo like kinase 3""","""CNK"", ""FNK"", ""PLK-3"", ""PRK"""
"""PLK2""","""PLK2""","""PLK2""","""PLK2""","""polo-like kinase 2 (Drosophila)""","""PLK2""","""polo like kinase 2""","""polo-like kinase 2 (Drosophila)"", ""polo-like kinase 2""","""serum-inducible kinase""","""SNK""","""Serine/threonine-protein kinase PLK2""","""Polo-like kinase 2"", ""Serine/threonine-protein kinase SNK"", ""Serum-inducible kinase""","""PLK2""","""SNK""","""polo like kinase 2""","""SNK"", ""hPlk2"", ""hSNK"""
"""PLK4""","""PLK4""","""PLK4""","""PLK4""","""polo-like kinase 4 (Drosophila)""","""PLK4""","""polo like kinase 4""","""serine/threonine kinase 18"", ""polo-like kinase 4 (Drosophila)"", ""polo-like kinase 4""",,"""Sak""","""Serine/threonine-protein kinase PLK4""","""Polo-like kinase 4"", ""Serine/threonine-protein kinase 18"", ""Serine/threonine-protein kinase Sak""","""PLK4""","""SAK"", ""STK18""","""polo like kinase 4""","""MCCRP2"", ""SAK"", ""STK18"""
"""SCYL2""","""SCYL2""","""SCYL2""","""SCYL2""","""SCY1-like 2 (S. cerevisiae)""","""SCYL2""","""SCY1 like pseudokinase 2""","""SCY1-like 2 (S. cerevisiae)"", ""SCY1-like, kinase-like 2""","""coated vesicle-associated kinase of 104 kDa""","""KIAA1360"", ""CVAK104""","""SCY1-like protein 2""","""Coated vesicle-associated kinase of 104 kDa""","""SCYL2""","""CVAK104"", ""KIAA1360""","""SCY1 like pseudokinase 2""","""AMC4"", ""AMCNACC"", ""CVAK104"""
"""SCYL3""","""SCYL3""","""SCYL3""","""SCYL3""","""SCY1-like 3 (S. cerevisiae)""","""SCYL3""","""SCY1 like pseudokinase 3""","""SCY1-like 3 (S. cerevisiae)"", ""SCY1-like, kinase-like 3""","""ezrin-binding partner PACE-1""","""PACE-1"", ""PACE1""","""Protein-associating with the carboxyl-terminal domain of ezrin""","""Ezrin-binding protein PACE-1"", ""SCY1-like protein 3""","""SCYL3""","""PACE1""","""SCY1 like pseudokinase 3""","""PACE-1"", ""PACE1"""
"""SCYL1""","""SCYL1""","""SCYL1""","""SCYL1""","""SCY1-like 1 (S. cerevisiae)""","""SCYL1""","""SCY1 like pseudokinase 1""","""N-terminal kinase-like"", ""SCY1-like 1 (S. cerevisiae)"", ""SCY1-like, kinase-like 1""","""teratoma-associated tyrosine kinase"", ""telomerase transcriptional elements-interacting factor"", ""telomerase regulation-associated protein""","""HT019"", ""P105"", ""GKLP"", ""NKTL"", ""TAPK"", ""TRAP"", ""TEIF"", ""MGC78454""","""N-terminal kinase-like protein""","""Coated vesicle-associated kinase of 90 kDa"", ""SCY1-like protein 1"", ""Telomerase regulation-associated protein"", ""Telomerase transcriptional element-interacting factor"", ""Teratoma-associated tyrosine kinase""","""SCYL1""","""CVAK90"", ""GKLP"", ""NTKL"", ""TAPK"", ""TEIF"", ""TRAP""","""SCY1 like pseudokinase 1""","""GKLP"", ""HT019"", ""NKTL"", ""NTKL"", ""P105"", ""SCAR21"", ""TAPK"", ""TEIF"", ""TRAP"""
"""SgK071""","""SgK071""","""C9orf96""","""C9orf96""","""chromosome 9 open reading frame 96""","""C9orf96""",,,,,"""Serine/threonine kinase-like domain-containing protein STKLD1""","""Serine/threonine kinase-like domain-containing protein 1"", ""Sugen kinase 071""","""STKLD1""","""C9orf96"", ""SGK071""",,
"""SgK493""","""SgK493""","""LOC91461""","""-""","""-""","""LOC91461""",,,,,,,,,,
"""SgK496""","""SgK496""","""RIPK5""","""RIPK5""","""receptor interacting protein kinase 5""","""RIPK5""",,,,,"""Dual serine/threonine and tyrosine protein kinase""","""Dusty protein kinase"", ""RIP-homologous kinase"", ""Receptor-interacting serine/threonine-protein kinase 5"", ""Sugen kinase 496""","""DSTYK""","""KIAA0472"", ""RIP5"", ""RIPK5"", ""SGK496""",,
"""Slob""","""Slob""","""PXK""","""PXK""","""PX domain containing serine/threonine kinase""","""PXK""","""PX domain containing serine/threonine kinase like""","""PX domain containing serine/threonine kinase""",,"""FLJ20335"", ""Slob""","""PX domain-containing protein kinase-like protein""","""Modulator of Na,K-ATPase""","""PXK""",,"""PX domain containing serine/threonine kinase like""","""MONAKA"", ""SLOB"""
"""TBCK""","""TBCK""","""MGC16169""","""-""","""-""","""MGC16169""",,,,,,,,,,
"""TLK1""","""TLK1""","""TLK1""","""TLK1""","""tousled-like kinase 1""","""TLK1""","""tousled like kinase 1""","""tousled-like kinase 1""",,"""KIAA0137"", ""PKU-BETA""","""Serine/threonine-protein kinase tousled-like 1""","""PKU-beta"", ""Tousled-like kinase 1""","""TLK1""","""KIAA0137""","""tousled like kinase 1""","""PKU-beta"""
"""TLK2""","""TLK2""","""TLK2""","""TLK2""","""tousled-like kinase 2""","""TLK2""","""tousled like kinase 2""","""tousled-like kinase 2""",,"""PKU-ALPHA"", ""MGC44450""","""Serine/threonine-protein kinase tousled-like 2""","""HsHPK"", ""PKU-alpha"", ""Tousled-like kinase 2""","""TLK2""",,"""tousled like kinase 2""","""HsHPK"", ""MRD57"", ""PKU-ALPHA"""
"""PBK""","""PBK""","""PBK""","""PBK""","""PDZ binding kinase""","""PBK""","""PDZ binding kinase""",,"""T-LAK cell-originated protein kinase"", ""cancer/testis antigen 84""","""TOPK"", ""FLJ14385"", ""Nori-3"", ""SPK"", ""CT84""","""Lymphokine-activated killer T-cell-originated protein kinase""","""Cancer/testis antigen 84"", ""MAPKK-like protein kinase"", ""Nori-3"", ""PDZ-binding kinase"", ""Spermatogenesis-related protein kinase"", ""T-LAK cell-originated protein kinase""","""PBK""","""TOPK""","""PDZ binding kinase""","""CT84"", ""HEL164"", ""Nori-3"", ""SPK"", ""TOPK"""
"""TTK""","""TTK""","""TTK""","""TTK""","""TTK protein kinase""","""TTK""","""TTK protein kinase""",,"""cancer/testis antigen 96"", ""monopolar spindle 1 kinase""","""MPS1"", ""MPS1L1"", ""CT96"", ""MPH1""","""Dual specificity protein kinase TTK""","""Phosphotyrosine picked threonine-protein kinase""","""TTK""","""MPS1"", ""MPS1L1""","""TTK protein kinase""","""CT96"", ""ESK"", ""MPH1"", ""MPS1"", ""MPS1L1"", ""PYT"""
"""Fused""","""Fused""","""STK36""","""STK36""","""serine/threonine kinase 36, fused homolog (Drosophila)""","""STK36""","""serine/threonine kinase 36""","""serine/threonine kinase 36 (fused homolog, Drosophila)""","""fused homolog (Drosophila)""","""KIAA1278"", ""FU""","""Serine/threonine-protein kinase 36""","""Fused homolog""","""STK36""","""KIAA1278""","""serine/threonine kinase 36""","""CILD46"", ""FU"""
"""ULK1""","""ULK1""","""ULK1""","""ULK1""","""unc-51-like kinase 1 (C. elegans)""","""ULK1""","""unc-51 like autophagy activating kinase 1""","""unc-51 (C. elegans)-like kinase 1"", ""unc-51-like kinase 1 (C. elegans)""","""ATG1 autophagy related 1 homolog (S. cerevisiae)""","""ATG1"", ""ATG1A""","""Serine/threonine-protein kinase ULK1""","""Autophagy-related protein 1 homolog"", ""Unc-51-like kinase 1""","""ULK1""","""KIAA0722""","""unc-51 like autophagy activating kinase 1""","""ATG1"", ""ATG1A"", ""UNC51"", ""Unc51.1"", ""hATG1"""
"""ULK2""","""ULK2""","""ULK2""","""ULK2""","""unc-51-like kinase 2 (C. elegans)""","""ULK2""","""unc-51 like autophagy activating kinase 2""","""unc-51 (C. elegans)-like kinase 2"", ""unc-51-like kinase 2 (C. elegans)""",,"""KIAA0623"", ""Unc51.2"", ""ATG1B""","""Serine/threonine-protein kinase ULK2""","""Unc-51-like kinase 2""","""ULK2""","""KIAA0623""","""unc-51 like autophagy activating kinase 2""","""ATG1B"", ""Unc51.2"""
"""ULK3""","""ULK3""","""ULK3""","""ULK3""","""unc-51-like kinase 3 (C. elegans)""","""ULK3""","""unc-51 like kinase 3""","""unc-51-like kinase 3 (C. elegans)""",,"""DKFZP434C131"", ""FLJ90566""","""Serine/threonine-protein kinase ULK3""","""Unc-51-like kinase 3""","""ULK3""",,"""unc-51 like kinase 3""",
"""ULK4""","""ULK4""","""ULK4""","""ULK4""","""unc-51-like kinase 4 (C. elegans)""","""ULK4""","""unc-51 like kinase 4""","""unc-51-like kinase 4 (C. elegans)""",,"""FLJ20574"", ""REC01035"", ""FAM7C1""","""Serine/threonine-protein kinase ULK4""","""Unc-51-like kinase 4""","""ULK4""",,"""unc-51 like kinase 4""","""FAM7C1"", ""REC01035"""
"""PIK3R4""","""PIK3R4""","""PIK3R4""","""PIK3R4""","""phosphoinositide-3-kinase, regulatory subunit 4, p150""","""PIK3R4""","""phosphoinositide-3-kinase regulatory subunit 4""","""phosphoinositide-3-kinase, regulatory subunit 4""",,"""VPS15"", ""p150""","""Phosphoinositide 3-kinase regulatory subunit 4""","""PI3-kinase p150 subunit"", ""Phosphoinositide 3-kinase adaptor protein""","""PIK3R4""","""VPS15""","""phosphoinositide-3-kinase regulatory subunit 4""","""VPS15"", ""p150"""
"""Wee1""","""Wee1""","""WEE1""","""WEE1""","""WEE1 homolog (S. pombe)""","""WEE1""","""WEE1 G2 checkpoint kinase""","""wee1+ (S. pombe) homolog"", ""WEE1 homolog (S. pombe)""",,"""WEE1A""","""Wee1-like protein kinase""","""Wee1A kinase""","""WEE1""",,"""WEE1 G2 checkpoint kinase""","""WEE1A"", ""WEE1hu"""
"""MYT1""","""MYT1""","""PKMYT1""","""PKMYT1""","""protein kinase, membrane associated tyrosine/threonine 1""","""PKMYT1""","""protein kinase, membrane associated tyrosine/threonine 1""",,"""membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase"", ""protein phosphatase 1, regulatory subunit 126""","""MYT1"", ""PPP1R126""","""Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase""","""Myt1 kinase""","""PKMYT1""","""MYT1""","""protein kinase, membrane associated tyrosine/threonine 1""","""MYT1"", ""PPP1R126"""
"""Wee1B""","""Wee1B""","""FLJ40852""","""-""","""-""","""FLJ40852""",,,,,,,,,,
"""Wnk1""","""Wnk1""","""WNK1""","""WNK1""","""WNK lysine deficient protein kinase 1""","""WNK1""","""WNK lysine deficient protein kinase 1""","""protein kinase, lysine deficient 1"", ""hereditary sensory neuropathy, type II""","""protein phosphatase 1, regulatory subunit 167""","""HSAN2"", ""PPP1R167""","""Serine/threonine-protein kinase WNK1""","""Erythrocyte 65 kDa protein"", ""Kinase deficient protein"", ""Protein kinase lysine-deficient 1"", ""Protein kinase with no lysine 1""","""WNK1""","""HSN2"", ""KDP"", ""KIAA0344"", ""PRKWNK1""","""WNK lysine deficient protein kinase 1""","""HSAN2"", ""HSN2"", ""KDP"", ""PPP1R167"", ""PRKWNK1"", ""PSK"", ""p65"""
"""Wnk4""","""Wnk4""","""WNK4""","""WNK4""","""WNK lysine deficient protein kinase 4""","""WNK4""","""WNK lysine deficient protein kinase 4""","""protein kinase, lysine deficient 4""",,,"""Serine/threonine-protein kinase WNK4""","""Protein kinase lysine-deficient 4"", ""Protein kinase with no lysine 4""","""WNK4""","""PRKWNK4""","""WNK lysine deficient protein kinase 4""","""PHA2B"", ""PRKWNK4"""
"""Wnk3""","""Wnk3""","""WNK3""","""WNK3""","""WNK lysine deficient protein kinase 3""","""WNK3""","""WNK lysine deficient protein kinase 3""","""protein kinase, lysine deficient 3""",,,"""Serine/threonine-protein kinase WNK3""","""Protein kinase lysine-deficient 3"", ""Protein kinase with no lysine 3""","""WNK3""","""KIAA1566"", ""PRKWNK3""","""WNK lysine deficient protein kinase 3""","""MRXS2"", ""PRKWNK3"", ""PRS"""
"""Wnk2""","""Wnk2""","""WNK2""","""WNK2""","""WNK lysine deficient protein kinase 2""","""WNK2""","""WNK lysine deficient protein kinase 2""","""serologically defined colon cancer antigen 43""",,"""NY-CO-43"", ""KIAA1760""","""Serine/threonine-protein kinase WNK2""","""Antigen NY-CO-43"", ""Protein kinase lysine-deficient 2"", ""Protein kinase with no lysine 2"", ""Serologically defined colon cancer antigen 43""","""WNK2""","""KIAA1760"", ""PRKWNK2"", ""SDCCAG43""","""WNK lysine deficient protein kinase 2""","""NY-CO-43"", ""P/OKcl.13"", ""PRKWNK2"", ""SDCCAG43"""
